Date,polarity_mean,trend
2019-01-11,-0.03008130081300813,upward
2019-02-12,0.008350340136054424,upward
2019-03-12,0.04391441891441891,upward
2019-04-11,0.06638344226579522,upward
2019-04-12,-0.0283008658008658,upward
2019-05-11,0.012913510101010108,upward
2019-05-12,-0.0501937984496124,upward
2019-06-11,-0.10868417039148744,downward
2019-06-12,0.01811430632859204,upward
2019-07-11,-0.01635822510822511,upward
2019-08-11,0.022811447811447814,upward
2019-09-12,-0.06301587301587301,upward
2019-10-12,0.03619800950683304,upward
2019-11-11,0.011298475829725823,upward
2019-11-12,-0.13402008422416584,upward
2019-11-13,0.007371794871794872,downward
2019-11-14,-0.10761904761904764,downward
2019-11-15,0.018166786916786918,upward
2019-11-18,-0.012133333333333336,downward
2019-11-19,-0.019696969696969692,downward
2019-11-20,-0.0279296875,upward
2019-11-21,-0.019643759018759026,upward
2019-11-22,0.024118181818181813,downward
2019-11-25,0.042666666666666665,upward
2019-11-26,0.028787878787878782,upward
2019-11-27,-0.03355654761904761,downward
2019-12-11,-0.05792857142857144,upward
2019-12-12,-0.0025967261904761892,upward
2019-12-13,0.023991815476190486,upward
2019-12-16,0.03837995337995338,upward
2019-12-17,0.058518518518518525,upward
2019-12-18,-0.028125,downward
2019-12-19,0.00696759958387865,upward
2019-12-20,0.016968599033816426,downward
2019-12-23,0.06507936507936507,upward
2019-12-26,-0.03125,upward
2019-12-27,0.03047619047619048,upward
2019-12-30,-0.015317460317460313,downward
2019-12-31,0.02950588837685612,downward
2020-01-04,-0.026390646976090015,downward
2020-01-05,-0.033519148400100784,downward
2020-01-06,-0.04477466977466977,upward
2020-01-13,0.06627559377559378,upward
2020-01-14,0.023361742424242424,upward
2020-01-15,-0.06345470837406321,downward
2020-01-16,0.05987654320987655,upward
2020-01-17,-0.03690927128427129,upward
2020-01-21,0.054231292517006806,downward
2020-01-22,0.024201839826839825,downward
2020-01-23,-0.01720165177611986,downward
2020-01-24,0.037589285714285714,downward
2020-01-27,0.026603143233578017,downward
2020-01-28,0.015082183441558443,upward
2020-01-29,0.031032818532818536,downward
2020-01-30,-0.0015082371332371346,downward
2020-01-31,0.02148695602642971,downward
2020-02-01,0.02728282828282828,upward
2020-02-03,-0.034686791383219936,downward
2020-02-04,0.03802331349206349,downward
2020-02-06,0.05560344827586207,upward
2020-02-19,0.04648809523809525,upward
2020-02-20,-0.001104845446950705,upward
2020-02-21,-0.0009722222222222224,downward
2020-02-24,0.005136268343815514,downward
2020-02-25,-0.02739325068870524,downward
2020-02-26,-0.01662663217541266,downward
2020-02-27,-0.012844611528822054,downward
2020-02-28,0.03658176448874124,upward
2020-03-01,0.060333670033670024,upward
2020-03-02,0.02852813852813853,downward
2020-03-03,0.03378048780487805,downward
2020-03-04,0.016123511904761908,downward
2020-03-05,0.024338624338624337,downward
2020-03-13,0.010318683200039131,upward
2020-03-15,-0.10040849673202612,downward
2020-03-16,-0.00501190476190476,upward
2020-03-17,0.006577758333077483,downward
2020-03-18,-0.013184380032206114,downward
2020-03-19,-0.03304904051172708,downward
2020-03-20,-0.00767099567099567,upward
2020-03-22,0.05555555555555555,downward
2020-03-23,-0.04368160774410774,upward
2020-03-24,0.025586580086580088,maintain
2020-03-25,0.01655708874458874,downward
2020-03-26,0.0796242306446388,downward
2020-03-27,0.0592929292929293,downward
2020-03-29,-0.29375,downward
2020-03-30,-0.06344474153297683,upward
2020-03-31,0.0060771404521404535,downward
2020-04-02,-0.03603479853479854,upward
2020-04-03,0.022879962414846137,downward
2020-04-05,0.015525042087542087,downward
2020-04-13,-0.052270897379593034,upward
2020-04-14,-0.015238095238095238,downward
2020-04-15,-0.019593825579741063,downward
2020-04-16,0.015245180563808016,downward
2020-04-17,-0.035540032358214166,downward
2020-04-19,0.039743589743589734,downward
2020-04-20,-0.09634168035030104,downward
2020-04-21,-0.008377015389047478,upward
2020-04-22,0.03455044771269936,upward
2020-04-23,-0.015859906130524692,upward
2020-04-24,-0.0009024978852565033,upward
2020-04-26,-0.0903968253968254,downward
2020-04-27,0.010656285072951743,downward
2020-04-28,-0.023030956112852673,upward
2020-04-29,0.0022160068846815814,upward
2020-04-30,0.0098458892056453,downward
2020-05-02,0.07558514931396287,upward
2020-05-03,0.008817594834543986,downward
2020-05-05,0.051889493526817466,downward
2020-05-13,-0.03442857142857142,downward
2020-05-14,-0.14884199134199136,upward
2020-05-15,0.11112318840579707,upward
2020-05-17,0.07324761904761906,upward
2020-05-18,0.06108877894592184,upward
2020-05-19,0.005309696342305039,downward
2020-05-20,0.04397314986600701,upward
2020-05-21,0.031354453627180895,upward
2020-05-22,0.01407563025210084,downward
2020-05-24,0.25,downward
2020-05-25,-0.08511904761904761,upward
2020-05-26,0.03497159090909091,downward
2020-05-27,-0.06111111111111112,downward
2020-05-28,-0.08993055555555557,upward
2020-05-29,-0.0009270334928229596,upward
2020-05-31,-0.3944444444444444,downward
2020-06-01,0.0643951231060606,upward
2020-06-02,0.16875,downward
2020-06-03,-0.05316693505099302,downward
2020-06-04,-0.03562386156648452,downward
2020-06-05,-0.029736467236467237,downward
2020-07-01,0.05366383996520982,upward
2020-07-04,-0.06094034608378871,downward
2020-07-05,-0.058366935483870966,downward
2020-08-01,-0.015039682539682537,upward
2020-08-03,-0.032196969696969696,downward
2020-08-04,0.021537422839506173,downward
2020-08-05,0.065,downward
2020-09-01,-0.019313865147198468,upward
2020-09-03,-0.044372133323026176,downward
2020-09-04,-0.009093516924842228,downward
2020-10-01,0.056123737373737374,upward
2020-10-03,-0.03468960437710438,downward
2020-10-05,0.12698412698412698,downward
2020-11-03,-0.035201020102010205,downward
2020-11-05,-0.007765151515151514,downward
2020-12-03,-0.009962686567164182,downward
2020-12-04,-0.04107142857142857,downward
2020-12-05,-0.016219008264462806,upward
